Timestamp,Edad,Género,¿En qué lugar usás comúnmente la computadora?,¿Qué hacés cuando usás la computadora (podés elegir más de una opción)?,¿Dónde aprendiste a usar la computadora? (podés elegir más de una opción),¿Qué celular usás?,Si usás celular: ¿qué haces cuando usás el celular? (podés elegir más de una opción),¿Dónde se almacenan los videos que están en YouTube?,¿Quién tiene acceso a las fotos que tengo guardadas en mi celular?,Cuando le mando a una amiga una foto por WhatsApp...,"Si quiero hacer que mi amiga no pueda ver más la foto, ¿qué puedo hacer?",Sofi está en la calle sin Wi-Fi y le quiere mandar un mensaje de WhatsApp a Santi.  ¿Cuál de las cinco imágenes representa mejor la manera en la que el mensaje viaja?,"Muchas de las aplicaciones que conocemos se pueden usar gratuitamente, como por ejemplo Facebook, YouTube, Instagram o TikTok. ¿Por qué creés que permiten su uso sin tener que pagar 💵?",Escuela y grado
3/12/2021 19:15:01,10,Femenino,En mi casa,"Miro videos en YouTube, Hago la tarea","Me enseñaron en mi casa (mis padres, hermanos u otro familiar)",El mío,"Chateo (por ejemplo en WhatsApp o Telegram), Miro videos en YouTube, Hablo por teléfono",En una computadora,Yo y otras personas.,La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat.,Tengo que borrar la foto en el chat.,El mensaje se manda directamente.,"Porque obtienen dinero a través de las publicidades que nos muestran., Porque al ser gratuitas permiten que todos tengamos la misma posibilidad de acceder a ellas y utilizar sus servicios.",
3/17/2021 21:12:19,9,Femenino,En mi casa,Juego juegos,Aprendí solo,El mío,"Miro redes sociales (por ejemplo Facebook, TikTok o Instagram)",En una computadora,Solo yo.,La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat.,"No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.",El mensaje se manda a través de la nube.,Porque ya tienen suficiente dinero y no necesitan más.,
3/18/2021 21:28:35,10,Masculino,En mi casa,Miro videos en YouTube,Me enseñaron en la escuela,El mío,Juego juegos,En muchas computadoras (tantas que podrían llenar una casa),Solo yo.,Le mando una copia de mi foto.,Tengo que borrar la foto en el chat.,El mensaje se manda a través de una red de antenas y computadoras.,Porque obtienen dinero vendiendo nuestros datos e información personal.,
3/26/2021 22:14:29,9,Femenino,En mi casa,"Juego juegos, Miro videos en YouTube, Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)","Me enseñaron en mi casa (mis padres, hermanos u otro familiar), Aprendí solo",Me prestan uno,"Chateo (por ejemplo en WhatsApp o Telegram), Hablo por teléfono, Juego juegos",No sé,Yo y otras personas.,Le mando una copia de mi foto.,Tengo que borrar la foto en el chat.,El mensaje se manda directamente.,"Porque obtienen dinero vendiendo nuestros datos e información personal., Porque al ser gratuitas permiten que todos tengamos la misma posibilidad de acceder a ellas y utilizar sus servicios.",
4/19/2021 13:40:42,9,Femenino,En mi casa,"Juego juegos, Miro videos en YouTube","Me enseñaron en mi casa (mis padres, hermanos u otro familiar)",El mío,Chateo (por ejemplo en WhatsApp o Telegram),En mi celular,Solo yo.,Le doy permiso para ver la foto que tengo guardada en mi celular.,Tengo que borrar la foto en el chat.,El mensaje se manda directamente.,Porque ya tienen suficiente dinero y no necesitan más.,Escuela Nº 83 Juan Arzeno - 4to grado
4/19/2021 13:44:57,8,Femenino,en mi piesa,"Juego juegos, Miro videos en YouTube, Hago la tarea, Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)",Aprendí solo,El mío,"Chateo (por ejemplo en WhatsApp o Telegram), Miro redes sociales (por ejemplo Facebook, TikTok o Instagram), Miro videos en YouTube, Hablo por teléfono, Juego juegos",En mi celular,Solo yo.,"La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular",Tengo que borrar la foto en el chat.,No sé,Porque al ser gratuitas permiten que todos tengamos la misma posibilidad de acceder a ellas y utilizar sus servicios.,Escuela Nº 83 Juan Arzeno - 4to grado
4/19/2021 13:45:11,9,Masculino,En mi casa,"Juego juegos, Miro videos en YouTube","Me enseñaron en mi casa (mis padres, hermanos u otro familiar), Aprendí solo",El mío,"Chateo (por ejemplo en WhatsApp o Telegram), Miro redes sociales (por ejemplo Facebook, TikTok o Instagram), Miro videos en YouTube, Hablo por teléfono, Juego juegos",En la nube,Yo y otras personas.,Le mando una copia de mi foto.,"No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.",El mensaje se manda a través de una red de antenas y computadoras.,Porque obtienen dinero a través de las publicidades que nos muestran.,Escuela Nº 83 Juan Arzeno - 4to grado
4/19/2021 13:45:27,9,Femenino,En mi casa,"Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)",Me enseñaron en la escuela,El mío,"Hablo por teléfono, Juego juegos",En la nube,Solo yo.,Le mando una copia de mi foto.,"No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.",El mensaje se manda a través de una red de antenas y computadoras.,Porque obtienen dinero a través de las publicidades que nos muestran.,Escuela Nº 83 Juan Arzeno - 4to grado
4/19/2021 13:51:30,9,Femenino,En mi casa,"Juego juegos, Hago la tarea","Me enseñaron en mi casa (mis padres, hermanos u otro familiar)",El mío,"Chateo (por ejemplo en WhatsApp o Telegram), Miro redes sociales (por ejemplo Facebook, TikTok o Instagram)",En mi celular,Solo yo.,"La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular",Tengo que borrar la foto en el chat.,El mensaje se manda a través de una red de antenas y computadoras.,Porque ya tienen suficiente dinero y no necesitan más.,Escuela Nº 83 Juan Arzeno - 4to grado
4/19/2021 14:25:20,9,Femenino,En mi casa,"Hago la tarea, Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)","Me enseñaron en mi casa (mis padres, hermanos u otro familiar)",Me prestan uno,"Chateo (por ejemplo en WhatsApp o Telegram), Hablo por teléfono",No sé,Solo yo.,Le mando una copia de mi foto.,Tengo que borrar la foto en el chat.,No sé,"Porque obtienen dinero vendiendo nuestros datos e información personal., Porque obtienen dinero a través de las publicidades que nos muestran.",Escuela Nº 83 Juan Arzeno - 4to grado
4/19/2021 14:41:03,9,Masculino,En mi casa,"Juego juegos, Miro videos en YouTube, Hago la tarea, Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)","Me enseñaron en mi casa (mis padres, hermanos u otro familiar)",Me prestan uno,"Chateo (por ejemplo en WhatsApp o Telegram), Miro redes sociales (por ejemplo Facebook, TikTok o Instagram), Miro videos en YouTube, Hablo por teléfono, Juego juegos",En una computadora,Yo y otras personas.,Le mando una copia de mi foto.,No sé,El mensaje se manda directamente.,Porque al ser gratuitas permiten que todos tengamos la misma posibilidad de acceder a ellas y utilizar sus servicios.,Escuela Nº 83 Juan Arzeno - 4to grado
4/19/2021 14:41:09,9,Masculino,En mi casa,"Juego juegos, Miro videos en YouTube, Hago la tarea","Me enseñaron en mi casa (mis padres, hermanos u otro familiar)",El mío,"Miro redes sociales (por ejemplo Facebook, TikTok o Instagram), Juego juegos",No sé,Solo yo.,No sé,Tengo que borrar la foto en el chat.,No sé,Porque obtienen dinero a través de las publicidades que nos muestran.,Escuela Nº 83 Juan Arzeno - 4to grado
4/19/2021 14:41:39,9,Masculino,En mi casa,"Juego juegos, Miro videos en YouTube, Hago la tarea, Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)","Me enseñaron en mi casa (mis padres, hermanos u otro familiar)",El mío,"Chateo (por ejemplo en WhatsApp o Telegram), Miro videos en YouTube, Hablo por teléfono, Juego juegos",En muchísimas computadoras (tantas que podrían llenar una cancha de fútbol),Solo yo.,Le mando una copia de mi foto.,Tengo que borrar la foto en el chat.,El mensaje se manda a través de una red de antenas y computadoras.,Porque obtienen dinero a través de las publicidades que nos muestran.,Escuela Nº 83 Juan Arzeno - 4to grado
4/19/2021 14:41:43,9,Masculino,En mi casa,"Hago la tarea, Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)","Me enseñaron en mi casa (mis padres, hermanos u otro familiar), Me enseñaron en la escuela",El mío,"Chateo (por ejemplo en WhatsApp o Telegram), Hablo por teléfono, Juego juegos",En la nube,No sé,"La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular",No sé,No sé,Porque obtienen dinero a través de las publicidades que nos muestran.,Escuela Nº 83 Juan Arzeno - 4to grado
4/19/2021 14:42:35,10,Masculino,En mi casa,Juego juegos,Me enseñaron en la escuela,Me prestan uno,Miro videos en YouTube,No sé,Solo yo.,No sé,Tengo que borrar la foto en el chat.,El mensaje se manda a través de una red de antenas y computadoras.,Porque obtienen dinero vendiendo nuestros datos e información personal.,Escuela Nº 83 Juan Arzeno - 4to grado
4/19/2021 14:43:34,10,Femenino,En mi casa,"Juego juegos, Miro videos en YouTube","Me enseñaron en mi casa (mis padres, hermanos u otro familiar), Me enseñaron en la escuela",El mío,"Miro videos en YouTube, Hablo por teléfono",No sé,Yo y otras personas.,No sé,Tengo que borrar la foto en el chat.,El mensaje se manda a través de una red de antenas y computadoras.,Porque todo lo que está en Internet es gratuito.,Escuela Nº 83 Juan Arzeno - 4to grado
4/19/2021 14:48:59,9,Masculino,En mi casa,"Juego juegos, Miro videos en YouTube, Hago la tarea","Me enseñaron en mi casa (mis padres, hermanos u otro familiar), Aprendí solo",Me prestan uno,"Miro videos en YouTube, EDITO FOTOS",No sé,Solo yo.,No sé,Tengo que borrar la foto en el chat.,No sé,"Porque ya tienen suficiente dinero y no necesitan más., Porque obtienen dinero vendiendo nuestros datos e información personal., Porque obtienen dinero a través de las publicidades que nos muestran., Porque todo lo que está en Internet es gratuito.",Escuela Nº 83 Juan Arzeno - 4to grado
4/19/2021 14:49:55,10,Masculino,En mi casa,"Juego juegos, Miro videos en YouTube, Hago la tarea",Aprendí solo,El mío,"Chateo (por ejemplo en WhatsApp o Telegram), Miro redes sociales (por ejemplo Facebook, TikTok o Instagram), Miro videos en YouTube, Juego juegos",No sé,Solo yo.,Le doy permiso para ver la foto que tengo guardada en mi celular.,No sé,El mensaje se manda a través de una antena.,Porque obtienen dinero a través de las publicidades que nos muestran.,Escuela Nº 83 Juan Arzeno - 5to grado
4/19/2021 14:56:19,10,Masculino,En mi casa,"Hago la tarea, Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)",Aprendí solo,El mío,"Chateo (por ejemplo en WhatsApp o Telegram), Miro videos en YouTube, Hablo por teléfono, Juego juegos",En la nube,Solo yo.,"La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular",Tengo que borrar la foto en el chat.,No sé,Porque al ser gratuitas permiten que todos tengamos la misma posibilidad de acceder a ellas y utilizar sus servicios.,Escuela Nº 83 Juan Arzeno - 5to grado
4/19/2021 15:08:29,9,Masculino,En mi casa,"Juego juegos, Miro videos en YouTube","Me enseñaron en mi casa (mis padres, hermanos u otro familiar), Aprendí solo",El mío,"Chateo (por ejemplo en WhatsApp o Telegram), Miro redes sociales (por ejemplo Facebook, TikTok o Instagram), Miro videos en YouTube, Hablo por teléfono, Juego juegos",En la nube,Yo y otras personas.,Le mando una copia de mi foto.,"No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.",El mensaje se manda a través de una red de antenas y computadoras.,Porque obtienen dinero a través de las publicidades que nos muestran.,Escuela Nº 83 Juan Arzeno - 4to grado
4/19/2021 15:09:32,9,Masculino,En mi casa,"Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)","Me enseñaron en mi casa (mis padres, hermanos u otro familiar)",No uso celular,Nunca uso el celular,En la nube,No sé,No sé,No sé,No sé,Porque al ser gratuitas permiten que todos tengamos la misma posibilidad de acceder a ellas y utilizar sus servicios.,Escuela Nº 83 Juan Arzeno - 4to grado
4/19/2021 15:10:28,10,Femenino,En mi casa,"Juego juegos, dibujar",Aprendí solo,El mío,"Chateo (por ejemplo en WhatsApp o Telegram), Miro redes sociales (por ejemplo Facebook, TikTok o Instagram), Miro videos en YouTube, Hablo por teléfono, Juego juegos",En la nube,Solo yo.,Le mando una copia de mi foto.,"No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.",No sé,Porque obtienen dinero a través de las publicidades que nos muestran.,Escuela Nº 83 Juan Arzeno - 4to grado
4/19/2021 15:11:58,9,Femenino,En mi casa,"Juego juegos, Miro videos en YouTube, Hago la tarea, Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)",Aprendí solo,No uso celular,"Chateo (por ejemplo en WhatsApp o Telegram), Miro videos en YouTube, Hablo por teléfono, Juego juegos",En una computadora,Solo yo.,"La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular",Tengo que borrar la foto en el chat.,El mensaje se manda directamente.,Porque al ser gratuitas permiten que todos tengamos la misma posibilidad de acceder a ellas y utilizar sus servicios.,Escuela Nº 83 Juan Arzeno - 4to grado
4/19/2021 15:12:07,10,Femenino,En mi casa,"Juego juegos, Hago la tarea","Me enseñaron en mi casa (mis padres, hermanos u otro familiar)",El mío,"Chateo (por ejemplo en WhatsApp o Telegram), Juego juegos",No sé,Solo yo.,"La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular",Tengo que borrar la foto en el chat.,El mensaje se manda a través de una antena.,Porque obtienen dinero a través de las publicidades que nos muestran.,Escuela Nº 83 Juan Arzeno - 5to grado
4/19/2021 15:27:06,8,Femenino,En la escuela,"Hago la tarea, Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)","Me enseñaron en mi casa (mis padres, hermanos u otro familiar), Me enseñaron en la escuela",No uso celular,Nunca uso el celular,En la nube,Solo yo.,Le mando una copia de mi foto.,"No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.",El mensaje se manda a través de una antena.,Porque obtienen dinero a través de las publicidades que nos muestran.,Escuela Nº 83 Juan Arzeno - 4to grado
4/19/2021 15:28:41,9,Masculino,En mi casa,"Juego juegos, Miro videos en YouTube","Me enseñaron en mi casa (mis padres, hermanos u otro familiar), Aprendí solo",El mío,"Chateo (por ejemplo en WhatsApp o Telegram), Miro redes sociales (por ejemplo Facebook, TikTok o Instagram), Miro videos en YouTube, Hablo por teléfono, Juego juegos",En la nube,Yo y otras personas.,Le mando una copia de mi foto.,"No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.",El mensaje se manda a través de una red de antenas y computadoras.,Porque obtienen dinero a través de las publicidades que nos muestran.,Escuela Nº 83 Juan Arzeno - 4to grado
4/19/2021 15:31:38,10,Femenino,En mi casa,"Juego juegos, Hago la tarea, Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet), escucho musica","Me enseñaron en la escuela, Aprendí solo",Me prestan uno,"Chateo (por ejemplo en WhatsApp o Telegram), Hablo por teléfono, Juego juegos, edito ",En la nube,Yo y otras personas.,Le mando una copia de mi foto.,"No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.",El mensaje se manda a través de un satélite.,Porque obtienen dinero a través de las publicidades que nos muestran.,Escuela Nº 83 Juan Arzeno - 5to grado
4/19/2021 15:44:04,10,Femenino,En mi casa,"Juego juegos, Hago la tarea, Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)",Aprendí solo,Me prestan uno,"Chateo (por ejemplo en WhatsApp o Telegram), Hablo por teléfono, Juego juegos",En la nube,Solo yo.,"La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular",Tengo que borrar la foto en el chat.,El mensaje se manda a través de una antena.,Porque al ser gratuitas permiten que todos tengamos la misma posibilidad de acceder a ellas y utilizar sus servicios.,Escuela Nº 83 Juan Arzeno - 5to grado
4/19/2021 15:45:38,10,Femenino,En mi casa,"Juego juegos, Miro videos en YouTube, Hago la tarea","Me enseñaron en mi casa (mis padres, hermanos u otro familiar)",El mío,"Chateo (por ejemplo en WhatsApp o Telegram), Miro redes sociales (por ejemplo Facebook, TikTok o Instagram), Miro videos en YouTube, Juego juegos",No sé,Solo yo.,"La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular",Tengo que borrar la foto en el chat.,No sé,Porque ya tienen suficiente dinero y no necesitan más.,Escuela Nº 83 Juan Arzeno - 5to grado
4/19/2021 15:45:51,10,Femenino,En mi casa,"Juego juegos, Miro videos en YouTube, Hago la tarea, Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)",Aprendí solo,El mío,"Chateo (por ejemplo en WhatsApp o Telegram), Miro redes sociales (por ejemplo Facebook, TikTok o Instagram), Miro videos en YouTube, Hablo por teléfono, Juego juegos",En muchísimas computadoras (tantas que podrían llenar una cancha de fútbol),Solo yo.,"La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular","No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.",El mensaje se manda a través de un satélite.,Porque obtienen dinero a través de las publicidades que nos muestran.,Escuela Nº 83 Juan Arzeno - 5to grado
4/19/2021 15:47:35,10,Masculino,en la casa de mi abuela,"Juego juegos, Miro videos en YouTube","Me enseñaron en la escuela, Aprendí solo",El mío,Juego juegos,En mi celular,Yo y otras personas.,"La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular","No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.",El mensaje se manda a través de una antena.,Porque obtienen dinero a través de las publicidades que nos muestran.,Escuela Nº 83 Juan Arzeno - 5to grado
4/19/2021 15:48:25,10,Masculino,En la escuela,"Juego juegos, Miro videos en YouTube, Hago la tarea","Me enseñaron en la escuela, Aprendí solo",El mío,"Chateo (por ejemplo en WhatsApp o Telegram), Miro redes sociales (por ejemplo Facebook, TikTok o Instagram), Miro videos en YouTube, Hablo por teléfono, Juego juegos",En la nube,Solo yo.,"La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular","No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.",El mensaje se manda a través de una red de antenas y computadoras.,Porque obtienen dinero a través de las publicidades que nos muestran.,Escuela Nº 83 Juan Arzeno - 5to grado
4/19/2021 15:50:07,10,Femenino,En mi casa,"Juego juegos, Miro videos en YouTube, Hago la tarea","Me enseñaron en mi casa (mis padres, hermanos u otro familiar)",Me prestan uno,"Chateo (por ejemplo en WhatsApp o Telegram), Miro redes sociales (por ejemplo Facebook, TikTok o Instagram)",No sé,Yo y otras personas.,"La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular","No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.",No sé,Porque al ser gratuitas permiten que todos tengamos la misma posibilidad de acceder a ellas y utilizar sus servicios.,Escuela Nº 83 Juan Arzeno - 5to grado
4/19/2021 15:50:15,10,Femenino,En mi casa,"Juego juegos, Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)","Me enseñaron en mi casa (mis padres, hermanos u otro familiar)",No uso celular,Juego juegos,En la nube,No sé,No sé,Tengo que borrar la foto en el chat.,El mensaje se manda a través de una red de antenas y computadoras.,Porque obtienen dinero a través de las publicidades que nos muestran.,Escuela Nº 83 Juan Arzeno - 5to grado
4/19/2021 15:50:33,10,Femenino,En mi casa,"Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)",Aprendí solo,El mío,"Miro redes sociales (por ejemplo Facebook, TikTok o Instagram)",En la nube,Solo yo.,Le mando una copia de mi foto.,"No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.",No sé,para tener mas intalaciones en la app store y play store,Escuela Nº 83 Juan Arzeno - 5to grado
4/19/2021 15:50:59,9,Femenino,En mi casa,Juego juegos,"Me enseñaron en mi casa (mis padres, hermanos u otro familiar)",Me prestan uno,Juego juegos,En mi celular,Solo yo.,"La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular",Tengo que borrar la foto en el chat.,El mensaje se manda a través de un satélite.,Porque todo lo que está en Internet es gratuito.,Escuela Nº 83 Juan Arzeno - 5to grado
